AAPL
MSFT
AMZN
GOOGL
META
NVDA
ADBE
INTC
CSCO
CRM
JPM
BAC
C
GS
V
MA
MS
AXP
PYPL
BRK.B
JNJ
PFE
MRK
UNH
ABT
BMY
AMGN
GILD
TMO
LLY
KO
PG
NKE
HD
MCD
WMT
CL
PEP
KMB
GIS
XOM
CVX
SLB
NEE
COP
PSX
DUK
VLO
HAL
KMI
TSLA
GM
F
TM
HMC
RACE
VWAGY
NIO
BMWYY
DDAIF
VZ
T
CMCSA
TMUS
CHTR
VOD
DTEGY
CHL
TEF
ORAN
AMT
SPG
O
WELL
AVB
DLR
PLD
PSA
VTR
EQIX
TWTR
SNAP
PINS
MTCH
SPOT
EA
ATVI
TTWO
NFLX
ROKU
WM
RSG
WCN
SRCL
ADSW
LMT
BA
RTX
NOC
GD
DAL
UAL
LUV
ALK
AAL
BKNG
EXPE
TRIP
ABNB
UBER
LYFT
FDX
UPS
UNP
NSC
CSX
KSU
CNI
CP
F
GE
SIEGY
ABB
HON
MMM
CAT
DE
CMI
UNP
NSC
CSX
KSU
CNI
CP
BHP
RIO
VALE
FCX
NEM
GOLD
ADM
MOS
CF
SMG
MON
ZTS
ELAN
IDXX
CERN
HCA
UHS
LH
DGX
VRTX
REGN
ALXN
ILMN
ISRG
ALGN
HSIC
XRAY
BSX
EW
RMD
TMO
SHW
PPG
RPM
MAS
LII
TT
VMC
MLM
EXP
CRH
LEN
DHI
PHM
TOL
NVR
MANPHO
SUNPHARMA
DRREDDY
CIPLA
LUPIN
AUROPHARMA
CADILAHC
TORNTPHARM
DIVISLAB
BIOCON
GLENMARK
ALKEM
PEL
IPCALAB
JUBLPHARMA
SANOFI
ABBOTINDIA
GLAXO
PFIZER
